name,year,miles,color,condition,price
Acura ILX,2020,"29,094 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$20,998"
Acura ILX,2021,"22,646 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$23,500"
Acura Integra,2023,"3,477 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$34,998"
Acura MDX,2013,"91,230 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$16,998"
Acura MDX,2017,"100,531 miles","White exterior, Brown interior","No accidents reported, 2 Owners","$20,998"
Acura MDX,2017,"113,292 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Acura MDX,2020,"17,913 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,498"
Acura MDX,2013,"91,230 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$16,998"
Acura MDX,2015,"109,270 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$16,998"
Acura MDX,2017,"20,095 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,998"
Acura MDX,2020,"39,968 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$26,789"
Acura MDX,2020,"18,666 miles","White exterior, Black interior","No accidents reported, 1 Owner","$29,896"
Acura MDX,2014,"76,699 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner","$16,449"
Acura MDX,2020,"42,610 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$28,987"
Acura MDX,2016,"109,937 miles","White exterior, Unknown interior","No accidents reported, 3 Owners","$18,998"
Acura MDX,2020,"21,556 miles","White exterior, White interior","No accidents reported, 1 Owner","$31,795"
Acura MDX,2020,"21,556 miles","White exterior, White interior","No accidents reported, 1 Owner","$31,795"
Acura MDX,2022,"41,907 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,965"
Acura MDX,2020,"36,904 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,545"
Acura MDX,2022,"41,907 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,965"
Acura MDX,2017,"100,531 miles","White exterior, Brown interior","No accidents reported, 2 Owners","$20,998"
Acura MDX,2020,"27,707 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$29,464"
Acura MDX,2022,"19,654 miles","White exterior, Black interior","No accidents reported, 1 Owner","$47,998"
Acura MDX,2020,"42,221 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$30,998"
Acura MDX,2020,"18,718 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,986"
Acura MDX,2020,"32,255 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$29,998"
Acura RDX,2021,"44,809 miles","White exterior, Black interior","No accidents reported, 1 Owner","$28,250"
Acura RDX,2018,"29,848 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$24,998"
Acura RDX,2020,"41,508 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,689"
Acura RDX,2021,"43,115 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$31,968"
Acura RDX,2014,"105,118 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$16,998"
Acura RDX,2013,"98,716 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$11,999"
Acura RDX,2021,"25,613 miles","Blue exterior, Black interior","No accidents reported, 3 Owners","$27,995"
Acura RDX,2013,"98,716 miles","White exterior, Unknown interior","No accidents reported, 2 Owners","$11,999"
Acura RDX,2023,"3,057 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$38,777"
Acura RDX,2023,"3,057 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$38,777"
Acura RDX,2015,"49,279 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$17,489"
Acura RDX,2017,"80,884 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$17,500"
Acura RDX,2017,"80,884 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$17,500"
Acura RDX,2021,"22,980 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,466"
Acura RDX,2021,"10,748 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$32,000"
Acura TLX,2018,"53,680 miles","White exterior, Black interior","No accidents reported, 3 Owners","$21,999"
Acura TLX,2021,"41,046 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,236"
Alfa Romeo Giulia,2022,47 miles,"White exterior, Black interior","No accidents reported, 1 Owner","$28,670"
Alfa Romeo Giulia,2022,46 miles,"White exterior, Black interior","No accidents reported, 1 Owner","$30,542"
Alfa Romeo Giulia,2022,51 miles,"Red exterior, Black interior","No accidents reported, 1 Owner","$30,541"
